Date,Open,High,Low,Close,Volume,stock,country
2024-01-01,3400.00,3455.20,3388.50,3442.75,1234567,TCS,IND
2024-01-02,3442.75,3480.00,3430.10,3465.90,987654,TCS,IND
2024-01-03,3465.90,3490.50,3451.00,3478.30,1102345,TCS,IND
2024-01-04,3478.30,3502.80,3462.40,3495.60,876543,TCS,IND
2024-01-05,3495.60,3520.00,3481.20,3510.40,1345678,TCS,IND
2024-01-08,3510.40,3535.60,3498.70,3528.90,1098765,TCS,IND
2024-01-09,3528.90,3545.20,3512.30,3538.10,934567,TCS,IND
2024-01-10,3538.10,3560.80,3525.40,3555.70,1234890,TCS,IND
2024-01-11,3555.70,3578.30,3542.10,3568.40,876543,TCS,IND
2024-01-12,3568.40,3590.00,3555.20,3582.60,1098760,TCS,IND
2024-01-15,3582.60,3600.40,3570.80,3592.30,934560,TCS,IND
2024-01-16,3592.30,3615.70,3580.10,3608.90,1234500,TCS,IND
2024-01-17,3608.90,3630.20,3595.40,3622.50,987650,TCS,IND
2024-01-18,3622.50,3645.80,3610.70,3638.10,1102340,TCS,IND
2024-01-19,3638.10,3658.40,3625.30,3650.70,876540,TCS,IND
2024-01-22,3650.70,3675.90,3640.20,3668.40,1345670,TCS,IND
2024-01-23,3668.40,3692.30,3655.60,3685.20,1098760,TCS,IND
2024-01-24,3685.20,3708.70,3672.40,3700.80,934560,TCS,IND
2024-01-25,3700.80,3722.50,3688.10,3715.40,1234890,TCS,IND
2024-01-26,3715.40,3738.90,3702.70,3730.60,876540,TCS,IND
2024-01-01,2600.00,2645.30,2588.70,2632.40,2345678,RELIANCE,IND
2024-01-02,2632.40,2668.90,2620.10,2655.70,1987650,RELIANCE,IND
2024-01-03,2655.70,2690.20,2643.40,2678.30,2102340,RELIANCE,IND
2024-01-04,2678.30,2712.60,2665.80,2700.90,1876540,RELIANCE,IND
2024-01-05,2700.90,2735.40,2688.20,2723.50,2345670,RELIANCE,IND
2024-01-08,2723.50,2758.70,2710.40,2746.10,1098760,RELIANCE,IND
2024-01-09,2746.10,2780.30,2733.60,2768.70,934560,RELIANCE,IND
2024-01-10,2768.70,2802.90,2755.80,2791.30,1234890,RELIANCE,IND
2024-01-11,2791.30,2825.60,2778.10,2813.90,876540,RELIANCE,IND
2024-01-12,2813.90,2848.20,2800.40,2836.50,2098760,RELIANCE,IND
2024-01-15,2836.50,2870.80,2822.70,2859.10,1934560,RELIANCE,IND
2024-01-16,2859.10,2893.40,2845.30,2881.70,2234890,RELIANCE,IND
2024-01-17,2881.70,2916.00,2867.90,2904.30,1876540,RELIANCE,IND
2024-01-18,2904.30,2938.60,2890.50,2926.90,2345670,RELIANCE,IND
2024-01-19,2926.90,2961.20,2912.10,2949.50,1098760,RELIANCE,IND
2024-01-22,2949.50,2983.80,2934.70,2971.10,1934560,RELIANCE,IND
2024-01-23,2971.10,3006.40,2956.30,2993.70,2234890,RELIANCE,IND
2024-01-24,2993.70,3028.90,2978.90,3016.30,1876540,RELIANCE,IND
2024-01-25,3016.30,3051.50,3001.50,3038.90,2345670,RELIANCE,IND
2024-01-26,3038.90,3074.10,3023.10,3061.50,1098760,RELIANCE,IND
2024-01-01,1500.00,1530.40,1488.60,1518.20,5234567,INFY,IND
2024-01-02,1518.20,1548.80,1506.40,1536.60,4987650,INFY,IND
2024-01-03,1536.60,1567.20,1524.80,1555.00,5102340,INFY,IND
2024-01-04,1555.00,1585.60,1543.20,1573.40,4876540,INFY,IND
2024-01-05,1573.40,1604.00,1561.60,1591.80,5345670,INFY,IND
2024-01-08,1591.80,1622.40,1580.00,1610.20,4098760,INFY,IND
2024-01-09,1610.20,1640.80,1598.40,1628.60,3934560,INFY,IND
2024-01-10,1628.60,1659.20,1616.80,1647.00,4234890,INFY,IND
2024-01-11,1647.00,1677.60,1635.20,1665.40,3876540,INFY,IND
2024-01-12,1665.40,1696.00,1653.60,1683.80,5098760,INFY,IND
2024-01-15,1683.80,1714.40,1672.00,1702.20,4934560,INFY,IND
2024-01-16,1702.20,1732.80,1690.40,1720.60,5234890,INFY,IND
2024-01-17,1720.60,1751.20,1708.80,1739.00,4876540,INFY,IND
2024-01-18,1739.00,1769.60,1727.20,1757.40,5345670,INFY,IND
2024-01-19,1757.40,1788.00,1745.60,1775.80,4098760,INFY,IND
2024-01-22,1775.80,1806.40,1764.00,1794.20,3934560,INFY,IND
2024-01-23,1794.20,1824.80,1782.40,1812.60,4234890,INFY,IND
2024-01-24,1812.60,1843.20,1800.80,1831.00,3876540,INFY,IND
2024-01-25,1831.00,1861.60,1819.20,1849.40,5098760,INFY,IND
2024-01-26,1849.40,1880.00,1837.60,1867.80,4934560,INFY,IND
