Date,Open,High,Low,Close,Volume,stock,country
2024-01-01,175.20,177.80,174.50,176.40,89234567,AAPL,USA
2024-01-02,176.40,179.20,175.60,178.60,76543210,AAPL,USA
2024-01-03,178.60,181.40,177.80,180.80,82345678,AAPL,USA
2024-01-04,180.80,183.60,180.00,183.00,71234567,AAPL,USA
2024-01-05,183.00,185.80,182.20,185.20,89876543,AAPL,USA
2024-01-08,185.20,188.00,184.40,187.40,78234567,AAPL,USA
2024-01-09,187.40,190.20,186.60,189.60,65432109,AAPL,USA
2024-01-10,189.60,192.40,188.80,191.80,87654321,AAPL,USA
2024-01-11,191.80,194.60,191.00,194.00,76543210,AAPL,USA
2024-01-12,194.00,196.80,193.20,196.20,89234567,AAPL,USA
2024-01-15,196.20,199.00,195.40,198.40,78234567,AAPL,USA
2024-01-16,198.40,201.20,197.60,200.60,65432109,AAPL,USA
2024-01-17,200.60,203.40,199.80,202.80,87654321,AAPL,USA
2024-01-18,202.80,205.60,202.00,205.00,76543210,AAPL,USA
2024-01-19,205.00,207.80,204.20,207.20,89234567,AAPL,USA
2024-01-22,207.20,210.00,206.40,209.40,78234567,AAPL,USA
2024-01-23,209.40,212.20,208.60,211.60,65432109,AAPL,USA
2024-01-24,211.60,214.40,210.80,213.80,87654321,AAPL,USA
2024-01-25,213.80,216.60,213.00,216.00,76543210,AAPL,USA
2024-01-26,216.00,218.80,215.20,218.20,89234567,AAPL,USA
2024-01-29,218.20,221.00,217.40,220.40,78234567,AAPL,USA
2024-01-30,220.40,223.20,219.60,222.60,65432109,AAPL,USA
2024-01-31,222.60,225.40,221.80,224.80,87654321,AAPL,USA
2024-02-01,224.80,227.60,224.00,227.00,76543210,AAPL,USA
2024-02-02,227.00,229.80,226.20,229.20,89234567,AAPL,USA
2024-02-05,229.20,232.00,228.40,231.40,78234567,AAPL,USA
2024-02-06,231.40,234.20,230.60,233.60,65432109,AAPL,USA
2024-02-07,233.60,236.40,232.80,235.80,87654321,AAPL,USA
2024-02-08,235.80,238.60,235.00,238.00,76543210,AAPL,USA
2024-02-09,238.00,240.80,237.20,240.20,89234567,AAPL,USA
2024-01-01,380.00,386.50,378.20,384.30,32456789,MSFT,USA
2024-01-02,384.30,391.00,382.50,389.60,28765432,MSFT,USA
2024-01-03,389.60,396.30,387.80,394.90,31234567,MSFT,USA
2024-01-04,394.90,401.60,393.10,400.20,27654321,MSFT,USA
2024-01-05,400.20,406.90,398.40,405.50,33456789,MSFT,USA
2024-01-08,405.50,412.20,403.70,410.80,29876543,MSFT,USA
2024-01-09,410.80,417.50,409.00,416.10,26543210,MSFT,USA
2024-01-10,416.10,422.80,414.30,421.40,32654321,MSFT,USA
2024-01-11,421.40,428.10,419.60,426.70,27543210,MSFT,USA
2024-01-12,426.70,433.40,424.90,432.00,33456789,MSFT,USA
2024-01-15,432.00,438.70,430.20,437.30,29876543,MSFT,USA
2024-01-16,437.30,444.00,435.50,442.60,26543210,MSFT,USA
2024-01-17,442.60,449.30,440.80,447.90,32654321,MSFT,USA
2024-01-18,447.90,454.60,446.10,453.20,27543210,MSFT,USA
2024-01-19,453.20,459.90,451.40,458.50,33456789,MSFT,USA
2024-01-22,458.50,465.20,456.70,463.80,29876543,MSFT,USA
2024-01-23,463.80,470.50,462.00,469.10,26543210,MSFT,USA
2024-01-24,469.10,475.80,467.30,474.40,32654321,MSFT,USA
2024-01-25,474.40,481.10,472.60,479.70,27543210,MSFT,USA
2024-01-26,479.70,486.40,477.90,485.00,33456789,MSFT,USA
2024-01-29,485.00,491.70,483.20,490.30,29876543,MSFT,USA
2024-01-30,490.30,497.00,488.50,495.60,26543210,MSFT,USA
2024-01-31,495.60,502.30,493.80,500.90,32654321,MSFT,USA
2024-02-01,500.90,507.60,499.10,506.20,27543210,MSFT,USA
2024-02-02,506.20,512.90,504.40,511.50,33456789,MSFT,USA
2024-02-05,511.50,518.20,509.70,516.80,29876543,MSFT,USA
2024-02-06,516.80,523.50,515.00,522.10,26543210,MSFT,USA
2024-02-07,522.10,528.80,520.30,527.40,32654321,MSFT,USA
2024-02-08,527.40,534.10,525.60,532.70,27543210,MSFT,USA
2024-02-09,532.70,539.40,530.90,538.00,33456789,MSFT,USA
2024-01-01,140.00,142.60,139.20,141.40,22345678,GOOGL,USA
2024-01-02,141.40,144.00,140.60,143.80,19876543,GOOGL,USA
2024-01-03,143.80,146.40,143.00,146.20,21234567,GOOGL,USA
2024-01-04,146.20,148.80,145.40,148.60,18765432,GOOGL,USA
2024-01-05,148.60,151.20,147.80,151.00,22456789,GOOGL,USA
2024-01-08,151.00,153.60,150.20,153.40,20876543,GOOGL,USA
2024-01-09,153.40,156.00,152.60,155.80,17543210,GOOGL,USA
2024-01-10,155.80,158.40,155.00,158.20,21654321,GOOGL,USA
2024-01-11,158.20,160.80,157.40,160.60,18543210,GOOGL,USA
2024-01-12,160.60,163.20,159.80,163.00,22456789,GOOGL,USA
2024-01-15,163.00,165.60,162.20,165.40,20876543,GOOGL,USA
2024-01-16,165.40,168.00,164.60,167.80,17543210,GOOGL,USA
2024-01-17,167.80,170.40,167.00,170.20,21654321,GOOGL,USA
2024-01-18,170.20,172.80,169.40,172.60,18543210,GOOGL,USA
2024-01-19,172.60,175.20,171.80,175.00,22456789,GOOGL,USA
2024-01-22,175.00,177.60,174.20,177.40,20876543,GOOGL,USA
2024-01-23,177.40,180.00,176.60,179.80,17543210,GOOGL,USA
2024-01-24,179.80,182.40,179.00,182.20,21654321,GOOGL,USA
2024-01-25,182.20,184.80,181.40,184.60,18543210,GOOGL,USA
2024-01-26,184.60,187.20,183.80,187.00,22456789,GOOGL,USA
2024-01-29,187.00,189.60,186.20,189.40,20876543,GOOGL,USA
2024-01-30,189.40,192.00,188.60,191.80,17543210,GOOGL,USA
2024-01-31,191.80,194.40,191.00,194.20,21654321,GOOGL,USA
2024-02-01,194.20,196.80,193.40,196.60,18543210,GOOGL,USA
2024-02-02,196.60,199.20,195.80,199.00,22456789,GOOGL,USA
2024-02-05,199.00,201.60,198.20,201.40,20876543,GOOGL,USA
2024-02-06,201.40,204.00,200.60,203.80,17543210,GOOGL,USA
2024-02-07,203.80,206.40,203.00,206.20,21654321,GOOGL,USA
2024-02-08,206.20,208.80,205.40,208.60,18543210,GOOGL,USA
2024-02-09,208.60,211.20,207.80,211.00,22456789,GOOGL,USA
